0.00s:  What's up everyone?
7408.28s:  to acquire shares. It's more so a method to try to capture risk premium in something that I
7414.12s:  fully anticipate to build out. However, I do not in general run a lot of CSPs. I'm even
7423.48s:  finding myself more and more as of late with the way that the market is behaving recently.
7428.84s:  Spending way more time trading things like the ratio called diagonals. I'm not like fully out of
7435.80s:  using something like the coverage triangle, obviously. But what I'm doing in a pretty big way is
7443.64s:  trying to use the indices more and more. And a lot of that is to just be more
7450.76s:  tax efficient. And when you're trading the indices themselves, they do not have options
7458.04s:  or an underlying that you can trade. So yeah, I think that's kind of like the long and short of it.
7469.40s:  Accounting guy, wondering if you've tried estimating parameters for a Heston model for option
7476.28s:  pricing. I'm trying to build a Monte Carlo Sim, but not getting real estate results. Yeah,
7479.80s:  that's the problem that you likely will have if you're going through the process and trying to
7483.96s:  estimate your own wall. Heston is okay, but it misses a ton of stuff. So I think most people that
7493.24s:  are trying to estimate their own wall are using some sort of variation of a garsh model.
7498.84s:  But even those you need to include some sort of jump diffusion because accounting for gaps
7505.80s:  is really, really, really, really important. So something you can tinker with is this website
7512.84s:  from New York University Stern. And you can take a look at a bunch of different kinds of
7519.48s:  wall models that they tinker with. And you can see what seems to represent the world a little
7525.80s:  bit better for you. And then you can essentially see what you want to replicate from this, at least
7530.68s:  is a starting point. But the Heston, it's too simplistic. It misses too much. So yes, I have used it,
7537.88s:  but it does not surprise me that you're not getting real estate results.
7541.56s:  Yeah. Dr. Zayas says, I'm wondering about IRA accounts, pros and cons of IRA account for trading
7551.16s:  options. Yeah, that's totally fine. I trade options in an IRA account. There are slightly
7556.36s:  different rules that go along with it. I actually literally think I have videos on trading options
7561.08s:  in an IRA. You see, I do. A little bit old, but I think it's still probably, probably right.
7570.44s:  So there's that video that is, yeah, it's definitely much older. But
7581.88s:  yeah, you just have to change the approach a little bit is what it boils down to. But I use
7590.52s:  I use a IRA literally all the time for trading. It's less frequent. But like I'll still look at it
7600.36s:  every couple weeks, week, every other week, something like that. And the only the only broader concept
7606.68s:  there is less so like if it makes sense to trade in an IRA, because of course it does, especially
7611.08s:  if it's a Roth IRA, something that's tax deferred, depending on what your tax footprint looks like
7615.80s:  going forward. I'm obviously not a tax professional, not a financial professional, nothing I say.
7620.52s:  Should be taking his financial advice. I don't know what the fuck I'm talking about. But
7624.60s:  you can look at how an IRA fits into your life because a big drawback to IRAs is when you want to
7632.60s:  access it. And there's kind of a liquidity cost to it because you can't get into them.
7642.12s:  Now going further down the IRA, but hold there's a lot of gaps you can take advantage of.
7648.60s:  There's different rules you can exploit that are perfectly legal. But like for example,
7655.88s:  with an IRA, if you want to access it early, you can use it to buy your house if it's your first
7660.44s:  house. Like towards your first house, there's more rules to it. I don't know, because I never got
7664.52s:  to use it myself. But that's just a way you can tap into it a little bit early. So the tricky part
7671.88s:  with IRAs is it pertains to being a trader is if your aspiration is to retire early,
7677.72s:  which I think that's the whole point of doing this, then an IRA is kind of tricky because you
7682.84s:  definitely want the money there for when you get older, but you also can't access it quite as much.
7689.32s:  TG says I found the Black Sholes Model EM expected move numbers for your DTESPX options are
7694.44s:  very misleading. I don't see how they're misleading. And that's I don't understand how the
7700.68s:  Black Sholes Model in there fits in for you unless you just mean using Black Sholes to derive what
7705.72s:  the expected move is or how you're arriving at the expected move. I'm not sure you have to give me
7710.52s:  more detail than that. Happy to take a look at it, but I do not know exactly what you're referring to.
7719.80s:  Back up to the top paper cut. Tell me why I shouldn't go deep in the money calls three months out
7727.24s:  for Sophie. Seems really good for those right now. Let's see. Let's take a look at some so five.
7736.60s:  I mean, the short answer is because it's going down. If you buy calls, you want the underlying to go
7743.72s:  up and right now the underlying as you see it here is not going up. So that is the short answer
7752.44s:  on why going deep in the money three months out for Sophie may not make sense is because
7761.24s:  it's not going up and idea.
7770.52s:  Roryntitty says what about using Otoco? That's actually this sounds like a dance. That's fun.
7776.84s:  I like that and using my limits and stops it. Yeah, I think that's okay. You can use those
7780.92s:  kinds of orders. So you just have to be really, really careful. And what she's referring to, by the way,
7785.48s:  is a complex order type. And she's linking two of them. So there's a trigger order and then
7794.04s:  there's a cancel. So the idea there is to set up kind of a string of things that automatically
7799.48s:  executes her wishes with respect to an individual position that's on and there's nothing wrong with it.
7804.60s:  You just have to make sure that it's structured really well and it makes sense and you have to
7807.96s:  understand the liquidity impacts of it. I actually talked about a liquidity impact for something as simple
7813.48s:  as a stop limit on zero DTEs that I run. And I think I talked about that during the live session
7820.04s:  Monday, maybe something like that. But yeah, there's absolutely nothing wrong with it.
7827.48s:  Ries says, would you ever take a bullish stance on hood? Fuck no. Fucking hate Robinhood.
7833.80s:  I hope like this is just before the down move. Like this is all just stupid noise before Robinhood
7841.24s:  goes bankrupt down to zero. That's the only direction that this thing can go. It is the dumbest
7848.12s:  looking stock. I hate its face. I hate the fact that it thinks it can go up when it can't.
7855.24s:  Look at this. Look at this. 10 years ago. Well, it's not that long ago. When was this? 21. High
7862.12s:  85 down to the dirt to nothing. Stupid stock. It's so dumb. So everything about it is stupid.
7874.12s:  Look at this negative. It's got price that yeah, it's just it's a I hate it.
7883.08s:  Stupid stock. 7 to 24. It wishes. So now
7892.44s:  there's no way I can ever be bullish on Robinhood. That's one of my very few things that I've decided
7899.24s:  I will always perpetually hate. And this is now gained my eye which I hate this period. So stupid.
7910.12s:  Nick says Robinhood turned off the buy button. Yeah, I hate that they did that. I hate the way
7914.12s:  that they manage their margin. I hate the way that they route their options. I literally hate their
7918.44s:  face. So yeah, dig it. Back up. Shared where says can you review AMD 19 July
7933.88s:  Xperi does 180 straight look like strong support? I don't know what that means. If like the options
7942.04s:  themselves service support. I don't really know the I don't know your question shared
7948.92s:  where's happy to talk about it, but I don't really know what it means. Michael says do you see shares
7954.68s:  of Nvidia lower by options? I also don't know what that means. Y'all are asking fucking questions
7960.92s:  that I I cannot interpret. Let's see. Do you see shares of Nvidia lower by options?
7972.20s:  Yeah, I've no idea what that means. Do you mean do I I'm super confused?
7982.60s:  Yeah, sorry, Michael, if you can restate your question, I'm happy to answer it, but I have no idea.
7994.76s:  Okay, that's completely different. Can you review options chain AMD July 19 Xperi does look
8001.00s:  bullish? Okay, so the first thing is that the options chain itself isn't what I would worry about
8006.84s:  looking bullish. It's the stock options are derivatives and their value is tied to the stock.
8015.72s:  So in this case, right now in general, it looks like AMD is going through a little bit of a cycling
8026.04s:  period and it looks like it's still ascending, which is good news.
8043.64s:  But it looks like it's rotating over. I do like the moving averages. Those look good.
8048.76s:  Six month timeframe. It's definitely declining. Three month timeframe.
8055.32s:  It's got a nice pop here, but before that, it was relatively static.
8062.04s:  Yeah, so it like very cleanly broke above that 171 handle.
8075.48s:  So this looks like it's kind of rolling over and consolidating a little bit from just like a
8082.76s:  technical perspective. It does look like it's starting to catch a bid probably with the broader tech
8087.40s:  picture, but it's still in a general downslope, which I don't love. That's kind of like wind in its
8093.96s:  face as I would consider it. And then looking at the options in general,
8104.76s:  really, really slight call, oh, I skew very slight though, not much.
8116.84s:  Much more active call trading on the 12 July's really short term. It has earnings coming up
8122.28s:  on the 30th. I think that'll be pretty important. We can see how it's done on its previous earnings.
8129.00s:  Down on the last one down on the one before there up down down up down up.
8139.88s:  So kind of a general split. Earnings has been coming down though, which I don't love.
8148.60s:  What is this January? So January to January though is slightly up. So you're over year there,
8153.56s:  that's not bad. And then April. Yeah. So Cliff Notes version is, it looks kind of like a
8169.64s:  mixed bag. It looks like it's going through a little bit of a consolidation period here. And
8175.80s:  it looks like it's kind of following along with what tech is doing. So Dr. Seis says,
8182.20s:  do you think it's really in a downtrend? I see that downtrend is people taking their profits
8186.36s:  and then finding a temple bottom. It could do that. But again, like, it doesn't matter why it's in
8193.48s:  a downtrend, right? Like a downtrend is a downtrend. It's a thing for a reason. Now in a long term time
8199.48s:  frame, it's very clearly in an uptrend. So like this is okay. But like this here is a downtrend,
8208.28s:  whether it's because they're selling to take profits and it's going to form a bottom here
8212.04s:  if they're selling because they're sad and they want to buy a puppy. It doesn't matter. What matters
8217.72s:  is if you want something to go up and it's going down, you lose money. So the origin of the downtrend
8224.12s:  doesn't matter until it's not a downtrend anymore. So when I look at something like this, it's starting
8231.08s:  to pivot, right? Like this on a six-month daily is a downtrend. It's going down. But it did
8237.88s:  base heavily here. And it is absolutely starting to go up. But it has some near-term resistance
8246.12s:  to break through still. It's facing expanding, selling volume, which really supports your thesis
8254.60s:  in terms of people kind of taking profits and unwinding positions. But in that short-term time frame,
8262.12s:  it very much is in a downtrend. In this case, three months uptrend, for sure. And I think the broader
8271.40s:  component is it really depends on the time frame that like the trade is being looked at for.
8279.48s:  And in this case, short-term time frame, it does not look like this is going to the moon.
8286.52s:  It looks like it had a really large sympathetic move with broader tech. That's a lot of what I see here.
8293.48s:  And it does have earnings coming up on the 30th. So Dr. Zayah says,
8300.52s:  yep, I was looking at it at a longer time frame. Yeah, yeah, yeah, definitely.
8303.48s:  On a longer time frame, it for sure has an uptrend. But that question really goes back to like,
8309.56s:  what's the trade or trying to do? Right? Like if you're trying to trade this thing to the upside
8313.64s:  long term, then yeah, that's totally cool. If you're trying to trade it shorter-term time frames,
8318.76s:  then this looks like it's trying to go up and it looks like it wants to and it looks like it's starting.
8324.36s:  But again, depending on the time frame, it's flattening out here, starting to turn over.
8330.36s:  And then on a six-month time frame, it's again, just starting this breakout phase.
8335.48s:  So a lot of it will depend on how it behaves in here. My expectation would be that it would probably
8341.08s:  base in this level a little bit like 171 to 186 until it can get a break above 186.
8347.08s:  And then my guess is it would want to run up towards here like the 213 to 15 handle, something like that.
8355.56s:  So we will see.
8362.52s:  Growing to the says, can our strategy be do whatever Nancy Pelosi does? How do you back test that?
8366.92s:  Yeah, that is literally an ideal strategy as I think about it. And her timing, I mean, she's just
8375.40s:  literally, you know, she's just so good at timing. It's the kind of like look at it and you're like, man,
8381.16s:  how are you doing so good? And she continues to do just so great. Inspiring really,
8391.32s:  one of the best traders of our lifetime, we think it might be roaring kitty little did we know
8398.12s:  it's Nancy Pelosi and her husband. But you know, that's just because of all the hard work and
8404.36s:  dedication that they put into the craft. It is probably nothing to do with information availability
8411.24s:  or anything like that. There's no way. Impossible. Literally an impossibility.
8416.60s:  All right, you guys, I think this now is my next longest live stream ever. This is almost 2.5 hours,
8424.36s:  but I love this stuff. I love connecting with you guys. I love talking about this all. I do have a
8428.84s:  live stream tomorrow with my boy Newton, where we are going to talk more game stop. We want to get
8435.88s:  a little bit deeper into some more of the structural components behind it. And then we also want to
8440.84s:  spend a bit of time getting into kind of current state analysis of what it's looking like. So that
8447.32s:  is the game plan right now for tomorrow. As always, you guys know what to find me. I'm in her discord.
8453.96s:  You guys should absolutely join if you're not in there. It's completely free to get in. And then
8458.68s:  I will see you guys at the live stream tomorrow. I'll see the outlier pro members during the live
8463.88s:  stream on Sunday. And then I'll see everybody else on the live stream on Monday. We got all sorts of
8469.96s:  shit coming out all the time. So as always, be an outlier. I'll see you guys later.
